tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirty South,CyHi The Prynce,Hip-Hop,rap,302613,Big K.R.I.T.,Pusha T,Curren$y,12544
underground hip-hop,Del Tha Funkee Homosapien,rap,Hip-Hop,5356307,Hieroglyphics,Deltron 3030,Souls of Mischief,369493
Gangsta Rap,Dr. Dre,rap,Hip-Hop,35653917,Snoop Dogg,The Game,Ice Cube,2209478
Eminem,Eminem,Hip-Hop,rap,176446274,D12,Bad Meets Evil,Stat Quo,4267714
rnb,D'Angelo,Neo-Soul,soul,9451624,D'Angelo and The Vanguard,Erykah Badu,Bilal,601544
african,D'Banj,nigeria,naija,224518,Wizkid,Olamide,Davido,37793
hip hop,D-Loc,rap,Hip-Hop,101832,Johnny Richter,DGAF,Daddy X,17822
old school,D-Nice,rap,Hip-Hop,46928,K-Solo,Dana Dane,Mc Serch,12373
canada,D-Pryde,rap,Hip-Hop,229083,TraPhik,Dumbfoundead & DJ Zo,Wax and EOM,6768
Gangsta Rap,The D.O.C.,rap,Hip-Hop,565433,MC Ren,Above the Law,Eazy-E,122695
female vocalists,Da Brat,rap,Hip-Hop,349833,Foxy Brown,MC Lyte,Lil' Kim,80985
rap,Da$H,underground hip-hop,Hip-Hop,144242,Joey Fatts,Robb Bank$,Da$h & Retch,6568
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Daddy-O,east coast rap,Hip-Hop,2784,Private Investigators,Rough House Survivers,K-Solo,400
underground hip-hop,Damu The Fudgemunk,Hip-Hop,instrumental hip-hop,1785152,K-Def,Y Society,Klaus Layer,65914
indie,Dan Bull,Hip-Hop,rap,672672,Epic Rap Battles Of History,Watsky,Hopsin,28503
rap,Dana Dane,old school,Hip-Hop,39589,UTFO,Doug E. Fresh & The Get Fresh Crew,Whistle,11429
rnb,Danny Boy,rap,Hip-Hop,42678,Jodeci,H-Town,LL Cool J,9416
underground hip-hop,Danny Brown,rap,Hip-Hop,14863175,ScHoolboy Q,Vince Staples,Death Grips,341664
rnb,Dappy,british,rap,481295,N-Dubz,Ironik,Tinchy Stryder,43246
new york,Dave East,rap,Hip-Hop,118730,Fabolous,Styles P,The Lox,12667
underground hip-hop,Daveed Diggs,rap,Hip-Hop,174914,clipping.,K'naan,Dessa,16493
Dirty South,David Banner,Hip-Hop,rap,2148822,Dem Franchize Boyz,Mike Jones,YoungBloodz,412737
New Zealand,David Dallas,hip hop,rap,326591,Hilltop Hoods,@peace,PNC,27305
Electro-Hop,David Rush,rap,Hip-Hop,275920,Jump Smokers,DJ Class,Three 6 Mafia vs. Tiësto with Sean Kingston and Flo Rida,69415
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,Daz Dillinger,Gangsta Rap,rap,906399,Tha Dogg Pound,Kurupt,WC,168317
rap,Dazzie Dee,West Coast Rap,G-funk,20253,I Smooth 7,I.F.A.,Vontel,752
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Def Jef,hip hop,Hip-Hop,23954,Kwame,Chill Rob G,Lakim Shabazz,5899
rap,Dej Loaf,hip hop,Hip-Hop,533264,K Camp,Rich Homie Quan,Fetty Wap,77884
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Demrick,seen live,Hip-Hop,51965,Demrick & Cali Cleve,Mark Battles,Dizzy Wright,6104
rap,Deniro Farrar,cloud rap,Hip-Hop,248637,Blue Sky Black Death & Nacho Picasso,Nacho Picasso,Robb Bank$,12193
Southern Hip Hop,Denzel Curry,rap,Hip-Hop,1984313,Flatbush ZOMBiES,The Underachievers,Pouya,66714
seen live,Derek Minor,Christian Rap,Hip-Hop,80165,Tedashii,KB,Trip Lee,4769
hip hop,Desiigner,Hip-Hop,rap,1770743,Travi$ Scott,Lil Yachty,LIL UZI VERT,194811
jazz,Detail,Hip-Hop,Drum and bass,66813,Split Second,Optiv & CZA,Keeno & Whiney,15727
rap,Deuce,hip hop,rapcore,1683620,Hollywood Undead,Manafest,Richy Nix,95751
female vocalists,Dev,pop,electronic,5943388,The Cataracs,Natalia Kills,Havana Brown,549163
Dirty South,Devin the Dude,rap,Hip-Hop,3031757,UGK,Scarface,Z-Ro,170948
UK,Devlin,Hip-Hop,Grime,1785700,Ghetts,Professor Green,Wiley,189027
underground hip-hop,Diabolic,Hip-Hop,death metal,554274,Vinnie Paz,Apathy & Celph Titled,Army of the Pharaohs,42062
hip hop,Diamond,Hip-Hop,rap,340522,Trina,Lil' Kim,Shawnna,54395
DITC,Diamond D,rap,Hip-Hop,395587,Boot Camp Clik,Showbiz & A.G.,Lord Finesse,48039
diggy,Diggy Simmons,rap,Hip-Hop,139922,Diggy,Cyhi Da Prynce,Donnis,11116
hip hop,Dillon Cooper,rap,Hip-Hop,125848,Flatbush ZOMBiES,The Underachievers,CJ FLY,8994
